Mass,WFE,Altitude,ISA
180000.0,6365.0,30000.0,-10.0
180000.0,6284.0,30000.0,-15.0
180000.0,6204.0,30000.0,-20.0
180000.0,6449.0,30000.0,-5.0
180000.0,6536.0,30000.0,0.0
180000.0,6714.0,30000.0,10.0
180000.0,6807.0,30000.0,15.0
180000.0,6903.0,30000.0,20.0
180000.0,6624.0,30000.0,5.0
180000.0,6209.0,31000.0,-10.0
180000.0,6129.0,31000.0,-15.0
180000.0,6052.0,31000.0,-20.0
180000.0,6291.0,31000.0,-5.0
180000.0,6375.0,31000.0,0.0
180000.0,6550.0,31000.0,10.0
180000.0,6641.0,31000.0,15.0
180000.0,6734.0,31000.0,20.0
180000.0,6461.0,31000.0,5.0
180000.0,6065.0,32000.0,-10.0
180000.0,5988.0,32000.0,-15.0
180000.0,5914.0,32000.0,-20.0
180000.0,6144.0,32000.0,-5.0
180000.0,6225.0,32000.0,0.0
180000.0,6395.0,32000.0,10.0
180000.0,6485.0,32000.0,15.0
180000.0,6575.0,32000.0,20.0
180000.0,6309.0,32000.0,5.0
180000.0,5938.0,33000.0,-10.0
180000.0,5861.0,33000.0,-15.0
180000.0,5786.0,33000.0,-20.0
180000.0,6015.0,33000.0,-5.0
180000.0,6096.0,33000.0,0.0
180000.0,6265.0,33000.0,10.0
180000.0,6352.0,33000.0,15.0
180000.0,6441.0,33000.0,20.0
180000.0,6180.0,33000.0,5.0
180000.0,5809.0,34000.0,-10.0
180000.0,5734.0,34000.0,-15.0
180000.0,5660.0,34000.0,-20.0
180000.0,5887.0,34000.0,-5.0
180000.0,5967.0,34000.0,0.0
180000.0,6133.0,34000.0,10.0
180000.0,6218.0,34000.0,15.0
180000.0,6306.0,34000.0,20.0
180000.0,6049.0,34000.0,5.0
180000.0,5683.0,35000.0,-10.0
180000.0,5608.0,35000.0,-15.0
180000.0,5536.0,35000.0,-20.0
180000.0,5760.0,35000.0,-5.0
180000.0,5839.0,35000.0,0.0
180000.0,6002.0,35000.0,10.0
180000.0,6086.0,35000.0,15.0
174605.0,6081.0,35000.0,20.0
180000.0,5920.0,35000.0,5.0
180000.0,5571.0,36000.0,-10.0
180000.0,5497.0,36000.0,-15.0
180000.0,5424.0,36000.0,-20.0
180000.0,5647.0,36000.0,-5.0
180000.0,5725.0,36000.0,0.0
180000.0,5886.0,36000.0,10.0
180000.0,5971.0,36000.0,15.0
180000.0,5804.0,36000.0,5.0
180000.0,5489.0,37000.0,-10.0
180000.0,5415.0,37000.0,-15.0
180000.0,5343.0,37000.0,-20.0
180000.0,5564.0,37000.0,-5.0
180000.0,5640.0,37000.0,0.0
180000.0,5803.0,37000.0,10.0
180000.0,5819.0,37000.0,15.0
155846.0,5540.0,37000.0,20.0
180000.0,5721.0,37000.0,5.0
180000.0,5409.0,38000.0,-10.0
180000.0,5336.0,38000.0,-15.0
180000.0,5264.0,38000.0,-20.0
180000.0,5484.0,38000.0,-5.0
180000.0,5563.0,38000.0,0.0
180000.0,5724.0,38000.0,10.0
180000.0,5427.0,38000.0,15.0
180000.0,5643.0,38000.0,5.0
180000.0,5360.0,39000.0,-10.0
180000.0,5288.0,39000.0,-15.0
180000.0,5219.0,39000.0,-20.0
180000.0,5434.0,39000.0,-5.0
180000.0,5509.0,39000.0,0.0
180000.0,5665.0,39000.0,10.0
180000.0,5211.0,39000.0,15.0
180000.0,5586.0,39000.0,5.0
180000.0,5195.0,40000.0,-10.0
180000.0,5126.0,40000.0,-15.0
180000.0,5057.0,40000.0,-20.0
180000.0,5266.0,40000.0,-5.0
180000.0,5340.0,40000.0,0.0
180000.0,5502.0,40000.0,10.0
180000.0,4729.0,40000.0,20.0
180000.0,5419.0,40000.0,5.0
