,Mass,CAS,Drag_BADA,Drag_PRN,RMSE
0,180000.0,290.0,89654.63,89730.0,75.37
1,181000.0,290.3,90028.79,90090.0,61.21
2,182000.0,290.6,90404.09,90450.0,45.91
3,183000.0,290.9,90780.54,90810.0,29.46
4,184000.0,291.2,91158.17,91180.0,21.83
5,185000.0,291.5,91537.01,91540.0,2.99
6,186000.0,291.8,91917.06,91910.0,7.06
7,187000.0,292.1,92298.36,92280.0,18.36
8,188000.0,292.3,92628.76,92650.0,21.24
9,189000.0,292.6,93012.81,93020.0,7.19
10,190000.0,292.9,93398.18,93390.0,8.18
11,191000.0,293.2,93784.88,93770.0,14.88
12,192000.0,293.5,94172.93,94140.0,32.93
13,193000.0,293.8,94562.37,94520.0,42.37
14,194000.0,294.1,94953.21,94900.0,53.21
15,195000.0,294.4,95345.47,95280.0,65.47
16,196000.0,294.6,95688.9,95660.0,28.9
17,197000.0,294.9,96084.33,96050.0,34.33
18,198000.0,295.2,96481.26,96430.0,51.26
19,199000.0,295.5,96879.71,96820.0,59.71
20,200000.0,295.8,97279.72,97220.0,59.72
21,201000.0,296.1,97681.31,97630.0,51.31
22,202000.0,296.4,98084.5,98040.0,44.5
23,203000.0,296.7,98489.32,98440.0,49.32
24,204000.0,296.9,98847.62,98850.0,2.38
25,205000.0,297.2,99256.04,99260.0,3.96
26,206000.0,297.5,99666.18,99670.0,3.82
27,207000.0,297.8,100078.05,100080.0,1.95
28,208000.0,298.1,100491.69,100490.0,1.69
29,209000.0,298.3,100860.44,100880.0,19.56
30,210000.0,298.5,101231.72,101260.0,28.28
31,211000.0,298.7,101605.55,101650.0,44.45
32,212000.0,298.9,101981.99,102040.0,58.01
33,213000.0,299.2,102406.08,102430.0,23.92
34,214000.0,299.4,102787.42,102820.0,32.58
35,215000.0,299.6,103171.5,103210.0,38.5
36,216000.0,299.8,103558.34,103600.0,41.66
37,217000.0,300.0,103948.01,104000.0,51.99
38,218000.0,300.2,104340.53,104400.0,59.47
39,219000.0,300.5,104778.42,104800.0,21.58
40,220000.0,300.7,105176.34,105200.0,23.66
41,221000.0,300.9,105577.26,105600.0,22.74
42,222000.0,301.1,105981.23,106010.0,28.77
43,223000.0,301.3,106388.28,106410.0,21.72
44,224000.0,301.5,106798.47,106800.0,1.53
45,225000.0,301.6,107172.3,107190.0,17.7
46,226000.0,301.8,107589.42,107580.0,9.42
47,227000.0,302.0,108009.83,107980.0,29.83
48,228000.0,302.1,108395.7,108370.0,25.7
49,229000.0,302.3,108823.37,108770.0,53.37
50,230000.0,302.5,109254.49,109170.0,84.49
